PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Katherine L Nelson,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Tammeka Evans Cooper,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Yolanda Lawson,"MadeWell OBGYN, Dallas, Texas, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Satish Mocherla,"Legacy Community Health Services, Houston, Texas, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Alftan Dyson,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Denise Sutherland-Philips,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Heidi Swygard,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Lisa Petty,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Peter Jeffery,"GSK, London, UK.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Kenneth Sutton,"ViiV Healthcare, Durham, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Courtney Peasant Bonner,"RTI International, Research Triangle Park, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Sara M Andrews,"RTI International, Research Triangle Park, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Samantha Chang,"RTI International, Research Triangle Park, North Carolina, USA.",
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025,Piotr Budnik,"ViiV Healthcare, London, UK.",
